구분,교육과정,강의및학습,행정서비스,교육환경,종합
1,50,50,50,50,50
1,91.7,91.7,37.5,100,80
1,50,50,50,50,50
1,58.3,60.4,50,41.7,56.6
1,83.3,83.3,66.6,33.3,66.6
1,50,58.3,50,50,54.2
1,83.3,93.8,83.3,100,87.5
1,83.3,97.9,83.3,16.6,85.8
1,33.3,4.2,0,0,5
1,66.6,54.1,70.8,83.3,58.3
1,83.3,75,83.3,66.6,77.5
1,25,66.6,50,50,54.2
1,50,87.5,54.1,83.3,65.8
1,75,81.2,66.6,83.3,66.6
1,66.7,83.3,41.7,33.3,67.5
1,91.7,95.8,100,83.3,95.8
1,50,56.2,50,41.7,49.1
1,33.3,70.8,41.6,83.3,58.3
1,50,43.7,37.5,41.7,41.7
1,75,83.3,79.1,83.3,82.5
1,100,89.6,83.3,75,89.1
1,33.3,45.8,58.3,33.3,40.8
1,50,56.2,66.6,75,61.6
1,33.3,83.3,83.3,91.7,69.1
1,58.3,52.1,50,50,51.7
1,66.6,58.3,70.8,58.3,63.3
1,50,50,50,50,50
1,33.3,47.9,50,25,41.7
1,50,50,50,50,50
1,33.3,60.4,37.5,16.6,41.6
1,100,100,83.3,100,95.8
1,66.6,66.6,66.6,66.6,66.6
1,83.3,97.9,87.5,83.3,86.7
1,50,45.8,50,50,48.3
1,83.3,93.7,75,50,82.5
1,50,81.2,58.3,58.3,67.5
1,50,50,50,50,50
1,50,77.1,66.7,25,57.5
1,91.7,93.7,95.8,75,92.5
1,50,50,41.7,66.6,53.3
1,0,0,0,0,0
1,66.6,83.3,83.3,83.3,81.6
1,16.6,64.5,29.2,16.6,43.3
1,50,45.8,33.3,33.3,43.3
1,83.3,66.6,100,50,74.1
1,25,66.6,54.2,58.3,56.6
1,58.3,68.7,54.2,66.6,66.6
1,66.6,75,75,50,68.3
1,58.3,64.5,50,66.6,61.6
2,90,95.2,87.5,83.3,91.7
2,43.3,90.5,50,75,64.1
2,43.3,90.5,50,75,64.1
2,86.6,71.4,95.8,41.7,79.1
2,69.9,83.3,83.3,75,77.5
2,73.3,76.1,100,83.3,81.6
2,50,100,50,100,72.5
2,43.3,83.3,66.7,75,67.5
2,100,100,100,66.6,96.7
2,100,100,100,83.3,98.3
2,93.3,90.5,87.5,50,86.6
2,86.6,76.1,95.8,75,85
2,26.6,100,16.7,16.7,49.2
2,86.6,92.8,75,16.6,80.8
2,50,50,50,50,50
2,96.7,92.8,87.5,83.3,92.5
2,86.6,92.8,87.5,66.6,88.3
2,40,85.7,62.5,33.3,59.1
2,83.3,83.3,83.3,83.3,82.5
2,16.6,71.4,37.5,8.3,39.1
2,50,64.3,50,50,56.7
2,63.3,80.9,58.3,58.3,69.1
2,100,90.5,91.7,83.3,93.3
2,80,83.3,83.3,83.3,81.6
2,83.3,83.3,83.3,83.3,83.3
2,69.9,100,66.6,66.6,79.1
2,50,69,50,25,54.1
2,63.3,90.5,66.6,58.3,71.6
2,66.6,73.8,70.8,58.3,70.8
2,83.3,88.1,83.3,75,84.1
2,96.7,80.9,87.5,75,87.5
2,86.6,85.7,87.5,58.3,85
2,100,90.5,87.5,83.3,90.8
2,100,90.5,87.5,83.3,90.8
2,83.3,80.9,45.8,41.7,70.8
2,36.6,66.6,50,25,48.3
2,100,100,100,33.3,93.3
2,90,97.6,100,66.6,93.3
2,100,100,100,83.3,98.3
2,93.3,100,91.7,91.7,95
2,93.3,90.5,83.3,58.3,87.5
2,26.6,97.6,12.5,25,50
2,26.6,97.6,12.5,25,50
2,56.6,57.1,62.5,50,56.6
2,56.6,57.1,62.5,50,56.6
2,86.6,88.1,87.5,58.3,85.8
2,36.6,80.9,45.8,33.3,54.1
2,83.3,73.8,95.8,83.3,80.8
2,53.3,90.5,41.7,41.7,65.8
2,36.6,50,50,41.7,45.8
